 ****** HSPICE -- Q-2020.03-SP2-2 linux64 (Nov  1 2020) ******
  Copyright (c) 1986 - 2026 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
1
#Column names, bin centers and bin counts
v_final,v_final_count
0.0571865,7
0.05870857,9
0.06023064,32
0.06175271,232
0.06327479,270
0.06479686,145
0.06631893,120
0.067841,61
0.06936308,17
0.07088515,7
0.07240722,35
0.07392929,35
0.07545137,18
0.07697344,4
0.07849551,5
0.08001758,3

