 ****** HSPICE -- Q-2020.03-SP2-2 linux64 (Nov  1 2020) ******
  Copyright (c) 1986 - 2026 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
1
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
v_final,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
0.06172841,-1.172491,-1.276082,-1.070037
0.06173048,-1.167521,-1.270865,-1.0653
0.06173695,-1.16258,-1.265679,-1.060589
0.06174352,-1.157667,-1.260525,-1.055904
0.06174549,-1.152782,-1.255402,-1.051243
0.06174559,-1.147924,-1.25031,-1.046607
0.0617518,-1.143093,-1.245247,-1.041995
0.06176273,-1.138289,-1.240213,-1.037407
0.06177088,-1.13351,-1.235209,-1.032843
0.06177113,-1.128758,-1.230233,-1.028302
0.06177668,-1.124031,-1.225285,-1.023783
0.06178156,-1.119329,-1.220365,-1.019287
0.06178184,-1.114651,-1.215473,-1.014813
0.06178642,-1.109998,-1.210607,-1.010361
0.06179802,-1.105368,-1.205767,-1.005931
0.06180534,-1.100763,-1.200954,-1.001522
0.06181919,-1.09618,-1.196166,-0.9971336
0.06182297,-1.09162,-1.191404,-0.9927661
0.06183457,-1.087083,-1.186666,-0.9884189
0.06184782,-1.082568,-1.181953,-0.9840919
0.06184884,-1.078076,-1.177265,-0.9797848
0.06186545,-1.073604,-1.1726,-0.9754972
0.061875,-1.069155,-1.167959,-0.971229
0.06188645,-1.064726,-1.163341,-0.9669798
0.06188968,-1.060318,-1.158746,-0.9627494
0.0618937,-1.05593,-1.154173,-0.9585375
0.06189386,-1.051563,-1.149623,-0.954344
0.06189597,-1.047216,-1.145095,-0.9501686
0.06190244,-1.042888,-1.140588,-0.946011
0.06191243,-1.03858,-1.136103,-0.9418711
0.06192144,-1.034291,-1.131639,-0.9377485
0.06192849,-1.030021,-1.127196,-0.9336431
0.06194689,-1.02577,-1.122774,-0.9295547
0.06195746,-1.021537,-1.118371,-0.925483
0.06196387,-1.017323,-1.113989,-0.9214279
0.06197208,-1.013126,-1.109627,-0.9173891
0.06198115,-1.008947,-1.105284,-0.9133665
0.06198951,-1.004786,-1.10096,-0.9093598
0.06200629,-1.000642,-1.096655,-0.9053689
0.06200842,-0.996515,-1.092369,-0.9013935
0.06201252,-0.992405,-1.088102,-0.8974334
0.0620143,-0.9883117,-1.083853,-0.8934886
0.06202349,-0.984235,-1.079622,-0.8895587
0.06203233,-0.9801745,-1.075409,-0.8856437
0.06203477,-0.9761301,-1.071213,-0.8817434
0.06203725,-0.9721016,-1.067035,-0.8778575
0.06203957,-0.9680888,-1.062874,-0.8739859
0.06204214,-0.9640916,-1.058731,-0.8701285
0.06204431,-0.9601097,-1.054604,-0.866285
0.06206294,-0.956143,-1.050493,-0.8624554
0.06206314,-0.9521912,-1.046399,-0.8586395
0.06206829,-0.9482543,-1.042321,-0.854837
0.06209507,-0.944332,-1.038259,-0.8510479
0.06209911,-0.9404242,-1.034214,-0.847272
0.06212009,-0.9365307,-1.030183,-0.8435091
